id,comment,label,comment_normalize
train_000034,Shop giao sai màu đặt màu xanh da trời shop giao màu nõn chuối. Đặc biệt sản phẩm đã sai màu còn bị vỡ phần nắp và chốt ko sd được. Chat shop ko tl đến lúc khách nhấn hoàn hàng mới tl sơ sài và ko đồng ý hoàn. Rất thất vọng về cách làm việc của Shop. May mà Shopee lấy lại công bằng và hoàn tiền. ,1,cửa_hàng giao sai màu màu xanh da_trời cửa_hàng giao màu nõn chuối sản_phẩm sai màu vỡ nắp chốt chất cửa_hàng trả_lời nhấn hoàn hàng trả_lời sơ xài đồng_ý hoàn thất_vọng làm_việc cửa_hàng may cửa_hàng ee công_bằng hoàn tiền
train_000035,khong thay den sang,1,thay den
train_000036,So với giá thì chất lượng tuyệt vời. capo khá chắc chắn và đẹp,0,giá chất_lượng tuyệt_vời capo đẹp
train_000037,"Không cầm pin. Không sử dụng được
 Chất lượng sản phẩm rất kém",1,cầm pin chất_lượng sản_phẩm kém
train_000038,"Những nước phát triển hàng trăm năm cũng không ai làm tầng ngầm dưới đường cao tốc cả , xe điện ngầm ra ngoại ô cũng thành nổi để tiết kiệm chi phí .",1,phát_triển hàng trăm tầng ngầm đường_cao_tốc xe điện ngầm ngoại_ô thành nổi tiết_kiệm chi_phí
train_000039," Shop phục vụ rất tốt. 
 Thời gian giao hàng rất nhanh",0,cửa_hàng_phục_vụ giao hàng
train_000040,Sản phẩm tốt hỗ trợ khách hàng nhiệt tình,0,sản_phẩm khách_hàng nhiệt_tình
train_000041,Giày đẹp mang êm và vừa chân lắm nha shop.,0,giày đẹp êm chân lắm nha cửa_hàng
train_000042,Chất liệu và kiểu dáng thì được nhưng quần hơi ngắn,0,chất_liệu kiểu_dáng quần hơi ngắn
train_000043,hàng bị lỗi nhiều quá màn hình cháy phim bị bong,1,hàng lỗi màn_hình cháy phim bong
train_000044, Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh ngon sẽ ủng hộ shop dài dài...,0,chất_lượng sản_phẩm tuyệt_vời giao hàng ngon ủng_hộ cửa_hàng dài_dài
train_000045,Chưa dùng nhưng nghe bạn m dùng r fb chất lượng khá tốt serum thơm mùu bưởi. Có 1 góp ý là shop nên thay lọ đựng sang loại khác vì bọn m mua nhiều lần thấy hầu hết các lọ vòi xịt đều k ổn.,0,facebook chất_lượng serum thơm mùu bưởi 1 góp_ý cửa_hàng thay lọ đựng bọn mua lọ vòi xịt ổn
train_000046,"Uống rất ngon 
Giao hàng nhanh 
Chất lượng sản phẩm tuyệt vời
.....................😋😋😋😋......................",0,uống ngon giao hàng chất_lượng sản_phẩm tuyệt_vời positive positive positive positive
train_000047,Shop bảo làm theo yêu cầu theo yêu cầu là phải có cao su chống trượt mà không theo yêu cầu thôi nhịn đắng cục tức vậy. Các bạn mua nên chú ý sẵn không lại ngậm cục tức như mình di bị rơi mấy lần lại lôi kê tay cũ ra xài,1,cửa_hàng bảo yêu_cầu_là cao_su chống trượt nhịn đắng cục tức_vậy mua chú_ý sẵn ngậm cục tức di rơi mấy lôi kê cũ xài
train_000048,Rẻ lầm chất lượng lém,0,rẻ lầm chất_lượng lém
train_000049,Huỷ trước khi shop giao cho ship để đổi màu mà shop k nhận đơn huỷ vẫn cố giao!,1,huỷ cửa_hàng giao giao hàng đổi màu cửa_hàng đơn huỷ cố giao
train_000050, Đóng gói sản phẩm rất kémTư vấn k nhiệt tình,1,đóng_gói sản_phẩm kémtư vấn nhiệt_tình
train_000051,Sản phẩm tốt ưng ý!,0,sản_phẩm ưng_ý
train_000052,E xay đá mà bị gãy ko xay dc ạ,0,e xay đá gãy xay
train_000053,Sản phẩm rất đẹp. Y hình và chất lượng rất tuyệt vời. Mik mua một lúc 5 đôi luôn. Mik sẽ ủng hộ shop dài dài ,0,sản_phẩm đẹp y hình chất_lượng tuyệt_vời mi mua 5 đôi mi ủng_hộ cửa_hàng dài_dài
train_000054,Sản phẩm không an toàn quá nguy hiểm cho người sử dụng. Không đáng để mua sp này. Quá sai lầm khi mua,1,sản_phẩm an_toàn nguy_hiểm mua sản_phẩm sai_lầm mua
train_000055,Thời gian giao hàng lâu. Đặt mũ len mèo màu ghi xám lại giao màu vàng. Khẩu trang xô mỏng tang.K biết có phải do giá sale k mà chất lượng chán thế.,1,giao hàng mũ len mèo màu ghi xám giao màu vàng khẩu_trang xô mỏng_tang giá sale chất_lượng chán_thế
train_000056," Chất lượng sản phẩm tuyệt vời
Hơi cũ tí nhưng mượt lắm thanks shop",0,chất_lượng sản_phẩm tuyệt_vời hơi cũ tí mượt lắm cám_ơn cửa_hàng
train_000057,Sản phẩm k như mình mong đợi..k cài dc đồ chơi vào..ghế hơi bất tiện khi sử dụng,0,sản_phẩm mong_đợi cài đồ_chơi ghế hơi bất_tiện
train_000058,Hôm nay tình cờ đọc được bài viết của bạn mình cảm thấy rất vui .,1,hôm_nay tình_cờ đọc viết vui
train_000059, Đóng gói sản phẩm rất chắc chắn. Sản phẩm rất dày dặn. Thời gian giao hàng rất nhanh.,0,đóng_gói sản_phẩm sản_phẩm dày_dặn giao hàng
train_000060,Áo vs giày siêu yêu ạ,0,áo giày siêu yêu
train_000061,mang đi công tác rất tiện lợi dùng rất mượt ko lo bị trầy xước,0,đi công_tác tiện_lợi mượt lo trầy_xước
train_000062,Chất lượng quá kém giao hàng không đúng mẫu . Khuyên mọi người không nên mua hàng của shop ,1,chất_lượng kém giao hàng mẫu khuyên mua hàng cửa_hàng
train_000063,Đặt lần 2 rồi mà giao hàng lâu quá vậy ???,1,2 giao hàng quá_vậy
train_000064,Khăn dày đẹp.,0,khăn dày đẹp
train_000065,Đặt tat bé giao tat nguoi lon .giao lộn hỏi k tl ,1,tat bé giao tat nguoi lon giao lộn trả_lời
train_000066,Mình thoa vào ngọn tóc thấy tóc bị rít nên chỉ thoa vào phần chân mùi thơm,1,thoa tóc tóc rít thoa chân mùi thơm
train_000067,"-Giao hàng rất nhanh <3 <3 gói hàng siêu kĩ luôn
-Son thơm mùi sữa cacao ghiền luôn á =3333 vỏ son nhìn cưng ghê màu son siêu đẹp chất son rất lì như son kem nên dưỡng kĩ môi vs tẩy tbc mới đánh xinh đc =))) ",0,giao hàng positive positive gói hàng siêu kĩ son thơm mùi sữa cacao ghiền 3333 vỏ son cưng ghê màu son siêu đẹp chất son lì son kem dưỡng kĩ môi tẩy tbc đánh xinh positive
train_000068,Đánh 1* vì không có 0*.Đặt 3 gói Monny L44 tt thẻ ở tp HCM nhưng 1 tuần mới nhận đc gói hàng bằng 1 túi nilong do người nhà nhận dùm khi mình kiểm tra thì thấy có 1 gói nên yc hoàn tiền và yc gọi dt yc shop giao 2 gói thiếu shop hứa và đợi đến ngày cuối cùng gửi trả hàng thì không thấy đâu.,1,đánh 1star 0star 3 gói monny l44 tt thẻ tp hcm 1 tuần gói hàng 1 túi nilong dùm kiểm_tra 1 gói yc hoàn tiền yc gọi điện_thoại yc cửa_hàng giao 2 gói cửa_hàng hứa đợi gửi hàng
train_000069, Thời gian giao hàng rất nhanh shop phuc vụ quá qua tệ hang  bị hư hại ma hong lời giai quyết .người khác da the ma nguoi kia cũng vay hong chu đáo can xem xet lại khi mau hàng shop nay nha cac ban,0,giao hàng cửa_hàng phuc vụ tệ hang hư_hại ma hong_lời giai quyết da the ma_nguoi kia vay hong chu_đáo can xet mau hàng cửa_hàng nha cac ban
train_000070,Đẹp thích hết,0,đẹp
train_000071,Kem dùng ổn mỗi tội hơi tối do với da mình,0,kem ổn tội hơi tối da
train_000072,Đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt,0,đóng_gói sản_phẩm đẹp chất_lượng sản_phẩm
train_000073, Good value for money Good value for money Fast delivery Excellent service by seller,0,value for money value for money giao hàng excellent service by seller
train_000074, Chất lượng sản phẩm tốt Đóng gói sản phẩm rất cẩn thận và chắc chắn Thời gian giao hàng rất nhanh,0,chất_lượng sản_phẩm đóng_gói sản_phẩm cẩn_thận giao hàng
train_000075,Chị chủ tư vấn rất nhiệt tình 😆😆 hình dáng và chất lượng sản phẩm tuyệt vời,0,chủ tư_vấn nhiệt_tình positive positive hình_dáng chất_lượng sản_phẩm tuyệt_vời
train_000076,SHOP ĐĂNG ẢNH MỘT ĐẰNG SẢN PHẨM MỘT LẺO .BÁN CÁP THÌ ÚP HÌNH CÁI CÁP THÔI CHỨ UP CẢ CỤC SẠC GÂY NHẦM LẪN CHO KHÁCH HÀNG LÀ COMBO CÁP+ DÂY SẠC. TÔI MUA LIỀN 2 CÁI LÚC NHẬN HÀNG MỚI NGỚ NGƯỜI RA BỊ MUA ĐẮT. CHẤT LƯỢNG SẢN PHẨM CHƯA RÕ.,1,cửa_hàng đăng ảnh đằng sản_phẩm lẻo cáp úp hình cáp up cả_cục sạc nhầm_lẫn khách_hàng combo cáp dây sạc mua liền 2 hàng ngớ mua đắt chất_lượng sản_phẩm
train_000077, Chất lượng sản phẩm tuyệt vời. Shop tư vấn nhiệt tình ạ <3 sẽ ủng hộ shop dài dài.,0,chất_lượng sản_phẩm tuyệt_vời cửa_hàng tư_vấn nhiệt_tình positive ủng_hộ cửa_hàng dài_dài
train_000078, Poor delivery speed Poor product quality,1,poor giao hàng sản_phẩm eed poor sản_phẩm_chất_lượng
train_000079,Đúng là tiền nào của đó ko ngon mùi kì kì ko thơm như lạp xưởng bình thường! Thất vọng vô cùng!!!,0,tiền ngon mùi kì kì thơm lạp_xưởng bình_thường thất_vọng vô_cùng
train_000080, Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm rất đẹp và chắc chắncám ơn shop đã tặng quà  sẽ ủng hộ tiếp...,0,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chắncám ơn cửa_hàng tặng quà ủng_hộ tiếp
train_000081,Giày Ok lắm shop ship hàng nhanh nữa ❤️,0,giày o lắm cửa_hàng giao hàng hàng positive ️
train_000082, Chất lượng sản phẩm tuyệt vời.rất  OK ,0,chất_lượng sản_phẩm tuyệt_vời o
train_000083,Giày chắc chắn . Đế hơi bẩn tí nhưng chắc sẽ lau được . Giao hàng nhanh,0,giày đế hơi bẩn tí lau giao hàng
train_000084,Hàng giao thiếu kêu gửi bù cho mà cả tháng chưa thấy gửi. Nhắn tin ko trả lời,0,hàng giao kêu gửi bù gửi nhắn_tin trả_lời
train_000085,Shop hết hàng nhưng không báo. Mình đặt 1 cặp thế mà gởi chỉ 1 ốp kèm theo tiền ốp kja. Thanh toán mở hàng ra xem thì chỉ có 1 ốp và số tiền đã thanh toán. Xài cặp thế giờ có 1 ốp thì sao đây. Mình chỉ góp ý vậy thôi ,1,cửa_hàng hàng báo 1 cặp gởi 1 ốp kèm tiền ốp k a thanh_toán mở_hàng 1 ốp tiền thanh_toán xài cặp 1 ốp góp_ý
train_000086,Giao ko đúng Đồ. Tôi đã bị lừa ,0,giao đồ lừa
train_000087,hk giong mẩu gì cả da vay bi lỗi nua ,1,h giong mẩu da vay bi lỗi nua
train_000088,Tương đối hài lòng giày chắc chắn êm nhưng đường may chỉ thừa còn nói chung ok với giá này :) thanks shop nha,0,tương_đối hài_lòng giày êm đường may thừa o giá positive cám_ơn cửa_hàng nha
train_000089,Dép xinh. Chủ shop rep tn rất nhiệt tình. Chúc shop buôn may bán đắt ạ.,0,dép xinh chủ cửa_hàng trả_lời tn nhiệt_tình chúc cửa_hàng buôn may đắt
train_000090,Mua 2đ có 2 lỗ xỏ dây ib shop kh trả lời giày rộng mn cân nhắc trc khi mua. ,1,mua 2đ 2 lỗ xỏ dây nhắn_tin cửa_hàng trả_lời giày rộng mn cân_nhắc trc mua
train_000091,Tốt tgian giao hàng nhanh,0,tgian giao hàng
train_000092,Nên mua nha mọi người,0,mua nha
train_000093,Thấy ghi đc tặng kèm tã quần.đến khi nhận hàng thì k thấy.hỏi shop thì nói k có.,1,ghi tặng kèm tã quần hàng cửa_hàng
train_000094, Shop phục vụ rất kém. Đã phải nhắn tin hỏi cẩn thận là còn k. Shop nói còn mà gửi màu sai. ,1,cửa_hàng_phục_vụ kém nhắn_tin cẩn_thận k cửa_hàng gửi màu sai
train_000095,Shop phục vụ rất tốt. Sản phẩm đúng với thông tin đăng tải.,0,cửa_hàng_phục_vụ sản_phẩm thông_tin đăng_tải
train_000096,Đặt combo mà shop chỉ giao bánh gạo và sốt k thấy phô mai và chả cá đâucó trả lại tiền nhưng mua combo để có đầy đủ vâyh mà thiếu chả báo gì ib thì chưa thấy trả lời. Shop phục vụ rất kém,1,combo cửa_hàng giao bánh gạo sốt phô_mai chả cá đâucó tiền mua combo đầy_đủ vâyh chả báo nhắn_tin trả_lời cửa_hàng_phục_vụ kém
train_000097,Shop này uy tín nè hàng đã đẹp mà còn đầy đủ hộp + pin tặng thêm đeo đồng bọn nó hỏi mua mấy triệu he he chắc nhập hàng của shop về bán lại quá :),0,cửa_hàng uy_tín nè hàng đẹp đầy_đủ hộp pin tặng đeo đồng_bọn mua mấy triệu positive nhập hàng cửa_hàng positive
train_000098, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.  Hàng  Giao  Dung  mẫu  chọn.  Chất  vải  dẹp ,0,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp hàng giao dung mẫu chất vải dẹp
train_000099,Sản phẩm k như quảng cáo là 9058 liên hệ theo số đt của shop trên vỏ hộp gửi thì thấy tổng đài báo:số đt không có.Hãi vãi!,1,sản_phẩm ng cáo 9058 liên_hệ đt cửa_hàng vỏ hộp gửi tổng_đài báo đt hãi vãi
train_000100, Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn giao hàng siu nhanh chỉ có 1 điểm trừ duy nhất là đậu phộng không được cay cho lắm.,0,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp giao hàng s yêu 1 trừ duy_nhất đậu_phộng cay lắm
train_000101, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh lại còn được thêm quà tặng kèm.  Shop phục vụ rất tốt !,0,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp giao hàng quà tặng kèm cửa_hàng_phục_vụ
train_000102,ngọt wá. cay wá. ướt wá tạm đc. đúng với giá tiền,1,cay ướt tạm giá tiền
train_000103,Chưa xài nhưng shop nhiệt tình giao hàng nhanh đóng gói đẹp nên cho 5*,0,xài cửa_hàng nhiệt_tình giao hàng đóng_gói đẹp 5star
train_000104,Mui khoan xài mau lúc qua,1,mui khoan xài mau
train_000105,Trước mắt dùng tốt,0,trước_mắt
train_000106,Sản phẩm tốt. Mẫu mã đẹp  Chất lượng sản phẩm tuyệt vời,0,sản_phẩm mẫu_mã đẹp chất_lượng sản_phẩm tuyệt_vời
train_000107,sản phẩm kém chất lượng độ sáng yếu pin không cầm sáng hoài không tắt công suất 15w thua bóng 9w nữa hàng kém chất lượng,1,sản_phẩm kém chất_lượng độ yếu pin cầm hoài tắt công_suất 15w thua bóng 9w hàng kém chất_lượng
train_000108,Sản phẩm tốt.. Xài rất ưng ý ,0,sản_phẩm xài ưng_ý
train_000109," Đóng gói sản phẩm rất đẹp và chắc chắn
 Tuy nhiên sản phẩm ko đc như mong đợi của mình lắm 
Thời gian giao hàng rất nhanh",0,đóng_gói sản_phẩm đẹp sản_phẩm mong_đợi lắm giao hàng
train_000110,Hạt giống k nảy mầm,1,hạt_giống nảy mầm
train_000111," Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh
Shop có tâm máy dùng thích",0,chất_lượng sản_phẩm tuyệt_vời cửa_hàng_phục_vụ tiền giao hàng cửa_hàng tâm máy
train_000112,rẻ hơn khi mua sieu thị nè  Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh,0,rẻ mua sieu thị nè chất_lượng sản_phẩm tuyệt_vời giao hàng
train_000113,Sp ok lam an uy tin. Goi  hang can  than. Giao hang nhanh,0,sản_phẩm o lam an uy goi hang can than giao hang_nhanh
train_000114, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh ns chung sp bên shop giá mềm hàng đẹp e sẽ ủng hộ shop nhiều hơn😁😁,0,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp cửa_hàng_phục_vụ tiền giao hàng ns sản_phẩm cửa_hàng giá mềm hàng đẹp e ủng_hộ cửa_hàng positive positive
train_000115,"TOÀN HÀNG FAKE. MASK RẺ TIỀN 
BÁN HÀNG CÓ TÂM MỘT CHÚT ĐI",1,toàn hàng giả_mạo mas rẻ_tiền hàng tâm một_chút đi
train_000116,hàng ko đúng chất lượng,1,hàng chất_lượng
train_000117, Chất lượng sản phẩm rất kém.thô.,1,chất_lượng sản_phẩm kém thô
train_000118," Chất lượng sản phẩm tuyệt vời
Giao hàng bao nhanh nhé dù ở tpHCM shop ngoài Đà Nẵng nhưng chỉ mất 2 ngày kể từ lúc đặt. 
Chúc shop mua may bán đắt",0,chất_lượng sản_phẩm tuyệt_vời giao hàng bao tphcm cửa_hàng đà_nẵng 2 chúc cửa_hàng mua may đắt
train_000119,San Pham tuyet voi.. Giay ray Dep..  Cho 5sao luon nha shop,0,san pham tuyet voi giay ray đẹp 5sao luon nha cửa_hàng
train_000120,mua 2 cục lap vao ko có tính hiêu . đều ko dùng được,1,mua 2 cục lap vao hiêu
train_000121, Chất lượng sản phẩm rất kém. Mua 3 đôi k vừa 1 đôi mà kêu size chuẩn.,1,chất_lượng sản_phẩm kém mua 3 đôi 1 đôi kêu cỡ chuẩn
train_000122, Chất lượng sản phẩm kém luoi bọc quat nhỏ wa ko dung đc,1,chất_lượng sản_phẩm kém luoi bọc quat dung
train_000123,Giày đẹp quá thể ❤️. Ưng lắm lắm. Sẽ ủng hộ shop dài dài. 💋💋. Chất đẹp còn hơn cả ảnh nữa. Yêu yêu 💋💋,0,giày đẹp quá_thể positive ️ ưng lắm lắm ủng_hộ cửa_hàng dài_dài positive positive chất đẹp ảnh yêu yêu positive positive
train_000124, Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.chất lượng chưa dùng nên chưa biết hiệu quả k. 😘😘,0,cửa_hàng_phục_vụ giao hàng chất_lượng hiệu_quả k positive positive
train_000125, Đóng gói sản phẩm rất đẹp và chắc chắn. Chúc shop đắt khách nha 🎉🎉🎉🎉,0,đóng_gói sản_phẩm đẹp chúc cửa_hàng đắt nha positive positive positive positive
train_000126,Đồng hồ đẹp lắm chúc shop bán đắt nhé,0,đồng_hồ đẹp lắm chúc cửa_hàng đắt
train_000127," Chất lượng sản phẩm tuyệt vời 
Đóng gói sản phẩm tốt  
Shop phục vụ tận tình ",0,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm cửa_hàng_phục_vụ tận_tình
train_000128,"Vừa sắm em M905, thấy nói ngon nhưng mới xài nên chưa đánh giá được...cảm nhận qua: đầm tay, chọn điểm click chính xác, wheel lăn 2 chế độ (trơn và cà nhắc) rất hay.. Giá: 1,699 tr. Mua của Trần Anh - Hà nôi",0,sắm m905 ngon xài cảm_nhận đầm clic chính_xác wheel lăn 2 chế_độ trơn cà_nhắc giá 1 699 tr mua trần hà_nôi
train_000129,"""ôi cái cấu hình đt "" mạnh kinh """"",1,ôi cấu_hình đt kinh
train_000130, Chất lượng sản phẩm rất kém. Nhìn hàng vừa nhận mà chỉ mun vứt đi như hàng dùng rồi mà vẫn còn ship dc cho khách. Làm ăn thất đức ,1,chất_lượng sản_phẩm kém hàng mun vứt đi hàng giao hàng làm_ăn thất_đức
train_000131,Son rất đẹp thơm mùi trái cây ,0,son đẹp thơm mùi trái_cây
train_000132," Đóng gói sản phẩm rất kém
Bánh tráng như bị ỉu và nghe mùi chua
Đề nghị bồi thuờng lại cho bên e",1,đóng_gói sản_phẩm kém bánh_tráng ỉu mùi chua đề_nghị bồi thuờng e
train_000133, Đóng gói sản phẩm rất đẹp và chắc chắn. Quà tặng kèm siêu dễ thương ah. Sẽ còn mua lại ,0,đóng_gói sản_phẩm đẹp quà tặng kèm siêu dễ_thương ah mua
train_000134,Váy nhỏ sao với kích thước bé nhà mình 19kg đã chon size lớn nhất nhưng vẫn hok vừa!!! Hic,1,váy kích_thước bé 19 chon cỡ ho hic
train_000135,Bình thường mang 38 vừa ma giờ mua 38 mang rộng như 40 vậy. Chất liệu không êm.. 😖😖,1,bình_thường 38 ma mua 38 rộng 40 chất_liệu êm nagative nagative
train_000136, Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt . Chất lượng sản phẩm tuyệt vời. Lần sau mình sẽ ủng hộ tiếp !,0,đóng_gói sản_phẩm đẹp cửa_hàng_phục_vụ chất_lượng sản_phẩm tuyệt_vời ủng_hộ tiếp
train_000137,"""tuyệt vời ông mặt trời!""",0,tuyệt_vời mặt_trời
train_000138,Sản phẩm giống hình.  Giao hàng nhanh.  Chất lượng thì chưa biết ,0,sản_phẩm hình giao hàng chất_lượng
